"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"052ed87a5bce8789c20b59effda065d6",4.91447538907619,0.825967921636996,1.65144446675074,0.500148771736847,0.616970326608107,1,"Fenollaria"
"9ee9d7f1e7a96963f1ee2668f858fced",9.32478788090035,-0.377790214907615,1.241875898139,-0.304209313888569,0.760968429450277,1,"Anaerococcus"
"b2574632cd105083065793a728d40c81",31.1120191350856,-0.116400534080856,0.808209577538531,-0.144022710588711,0.885482536139711,1,"Peptoniphilus"
"9485b25a0c921cb845dc9c4142ae4a0f",3.61262942221521,1.04662966664703,2.06450781734952,0.506963285801808,0.612180579448927,1,"Parvimonas"
"22b3c70cdfb1714224e1bf8a6314bee9",34.9662809717242,0.639246409965686,1.01373216420124,0.630587084577096,0.528310545827717,1,"Finegoldia"
"306885bb108656641ce13c5a740ef46c",0.0944281294626367,-0.0995375233103039,3.29176933535485,-0.0302383044404823,0.975876999962597,1,"Murdochiella"
"99deb3c5ecb022ec05609ebd1112a557",4.75486580021791,0.139553439313541,1.60854690878035,0.0867574570264506,0.930864304437443,1,"Bacteroides"
"d8e7f9181e4d5a4a6453e9ca9996a43f",0.395954136087233,-0.208341506521431,3.29082274879982,-0.0633098536216859,0.949519769450304,1,"Parabacteroides"
"31f567f59096ed2d57feecc6c3621a58",0.602015007596366,1.5684098155711,2.37500702993878,0.660381125529357,0.509009281332907,1,"Porphyromonas"
"4ddcfae7911092976b66d0799c96d4d7",0.0990799826256981,-0.223626743607665,3.29235960228796,-0.0679229399644743,0.94584697747007,1,"Incertae_Sedis"
"c53e42b981a64c89c69a5e6032bf49a2",0.176023186394031,-0.238769186661254,3.29125694963093,-0.0725465043645494,0.942166997807373,1,"Prevotellaceae_UCG-001"
"958d54f6c2724fdc04ad01d39d59aaca",109.881133010148,-1.11201017547911,1.0078495384611,-1.10334939199064,0.269875464996022,1,"Hoylesella"
"edb02840fe91e2472e2935917600da98",115.554379970436,0.779387111363091,0.935930832254342,0.832740074911102,0.404991337793823,1,"Prevotella"
"675c847bccbc53942ebb7b8cbb4efc4d",0.0998176583345902,-1.48597107676918,3.29014810469905,-0.451642609840844,0.651526468470366,1,"Segatella"
"742e1f191223f58590661de80b9d6e3b",0.0368460902929119,0,3.29262128949267,0,1,1,"Alistipes"
"ca647fe90e501808421954e5fbf9faa6",2.24671028655977,2.67827481059911,2.33649686254272,1.14627794008011,0.251680167606482,1,"Peptostreptococcus"
"644fd07dc284e48b3f9bdbf76078fd2e",0.0150335783837412,-0.684483508194977,3.29215277528122,-0.207913652529843,0.8352963889327,1,"S5-A14a"
"27335f508429bf2100f5dded19cea135",0.208847623875124,-1.48252570738872,3.28712003678414,-0.45101051704796,0.651981969058653,1,"Peptococcus"
"dfbcf643d39da3d96679e19c7ab6b3a1",28.7411729834681,2.01114594936019,2.04134782751319,0.985204932865462,0.324523418095184,1,"Fastidiosipila"
"8d5153b41e59c5ffb5a1fc080eb784cf",0.0558073026257483,0.030529729303002,3.29204014582316,0.00927380224744137,0.992600682428068,1,"Incertae_Sedis"
"f5f5e0da89730462abaf6301a9557193",0.532393055402779,-0.619651605893057,2.72088752556743,-0.227738780111402,0.819849322342105,1,"Faecalibacterium"
"9639a3291729a3758207b47715d9205f",0.233835105607354,1.08862443624785,3.29012018233892,0.330876799604918,0.740737547073222,1,"Gemmiger"
"bffd79a65e1cd0c98d984f7df8f1ed09",189.860414053792,1.53197447934325,1.41031312479277,1.08626549126695,0.277361549795643,1,"Megasphaera"
"2740cf2417c92847cc298cbd71dd1fcd",0.959859772950453,-0.523479900211392,3.27578924282761,-0.159802680028198,0.873036512857802,1,"Veillonella"
"209b0f9c375da503e050c43a24e70855",0.0435155981529301,0.0879826736164158,3.29195083954083,0.0267266061690909,0.978677792054882,1,"Negativicoccus"
"b484195da5a669012008758c2f88fb90",88.3007802368284,0.194984508134283,1.03055656931236,0.189203110183837,0.849933630117265,1,"Dialister"
"7a6dba47692f821cabeaf266b6b36593",1.67345308723585,0.424690326633614,2.03838465072053,0.208346509322219,0.834958419142173,1,"Incertae_Sedis"
"6bbff26a22040581ff0e24f9b5b40830",1.07320127673958,-2.32424483332569,2.66997359462866,-0.870512291957308,0.384020504750395,1,"Acidaminococcus"
"2e4f2b53b856c4def6d021d01f5abb70",0.0899365790797517,0.116550471310708,3.29190770833145,0.0354051454771139,0.971756681788472,1,"Dorea"
"c67445ed68d61f49e41b7bdd1de019fb",0.00801790847132864,-0.572967498673445,3.29237596522425,-0.174028575328401,0.86184300501738,1,"Enterocloster"
"67e8859e108281ee7971084bfa759522",0.145936149804986,0.041461273574118,3.291031631415,0.0125982604294482,0.989948308405398,1,"Lachnoclostridium"
"c6c3ab4e828fb40d6e05967b7aac9338",0.0989894329800646,0,3.29262127210273,0,1,1,"Blautia"
"12596212f81c470bb18586314a5ea8e2",1.11867593501013,-2.07529359607497,2.10562557170905,-0.985594791380946,0.324331995007792,1,"Howardella"
"b1a2eb74f17971864ed1ed964da108e5",49.0391609547146,-1.27580566229659,1.37231288528284,-0.929675496002972,0.352539125387049,1,"Sneathia"
"e502ebea2a54a6f839d310d6d57e7d47",0.341830781219167,-1.69135941129781,3.01698345691364,-0.56061275623568,0.575061553558147,1,"Fusobacterium"
"69a11f927915e2a3ba1f7b9c84486527",0,0,0,0,1,NA,"Parasutterella"
"c24e0e391aa836b5eae25567c7eb89ee",0,0,0,0,1,NA,"[Ruminococcus]_gnavus_group"
