ASV	Domain	Phylum	Class	Order	Family	Genus	Species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
35ea9460c84f1e75f939a7fa94bdb441	d__Bacteria	p__Bacillota.15	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group	NA	2.9135987979641347	-2.5090973738077587	0.44434653422659054	-5.646713050603579	1.6354446072053425e-8	7.587040851687394e-7
656fc22d077cc5d6ef83285bcd081cbe	d__Bacteria	p__Pseudomonadota.2	c__Alphaproteobacteria	o__Rhodospirillales	f__Incertae_Sedis	g__Incertae_Sedis	NA	2.219658094429249	-2.2255972401049595	0.45209249558080006	-4.922880299629283	8.527961992837237e-7	2.219350108867642e-5
53b2e8677ee8134bbcb5396218d5b4dc	d__Bacteria	p__Bacillota.16	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group	NA	2.2044990126905546	-2.2109436893970194	0.45024283998552117	-4.9105582433429005	9.08174756303267e-7	2.2878749047033746e-5
9419ea5aca20e7558640dfdf7f434837	d__Bacteria	p__Bacteroidota.9	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Hoylesella	NA	2.9709511509042175	-2.165322925473542	0.5182044663438986	-4.178510734866106	2.9342414944736572e-5	4.174447566137856e-4
e3055f1b3a2ef5ffe239567f02e0e758	d__Bacteria	p__Bacillota.17	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	NA	2.59539546540884	-2.1559896913423766	0.47942682282204796	-4.497015162087895	6.89140755264426e-6	1.2677813549433493e-4
b044a86e33a67caceb0a9f59149747ac	d__Bacteria	p__Bacillota.18	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Howardella	NA	3.232382836030635	-2.1548605082945875	0.5027481834325779	-4.28616269397932	1.8178587713259482e-5	2.811094650731575e-4
3a4a246cdaf2ee7e109536faef354a46	d__Bacteria	p__Bacillota.19	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	NA	2.996731264321292	-2.137566892856909	0.4864913331756297	-4.393843727705668	1.113638830946667e-5	1.8566447384688964e-4
410e1eaa1468a3d40595898f671ba0b3	d__Bacteria	p__Bacillota.20	c__Clostridia	o__Oscillospirales	f__[Eubacterium]_coprostanoligenes_group	g__Incertae_Sedis	NA	2.3919340067031083	-2.123905093730387	0.47989645167545814	-4.425757028032228	9.610464928677113e-6	1.6283549540247824e-4
64cdad777808dde2fad9b1be7bc91b85	d__Bacteria	p__Bacillota.21	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	NA	NA	6.012651824486592	-2.1124204009655974	0.6002469219368776	-3.519252367257855	4.327648307182713e-4	0.003880336759465508
c45a3b1ba3c7be52bf6cfd79c71d1286	d__Bacteria	p__Bacillota.22	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	NA	3.9000315786178374	-2.0966676048583444	0.49179155431748317	-4.263325765665366	2.0140655709487494e-5	3.0700113774318795e-4
c3726591d58a1266fa84775969018cd7	d__Bacteria	p__Bacillota.23	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	NA	2.07973985330635	-2.081800271974465	0.44741421289998745	-4.652959633269003	3.2720432138212168e-6	6.845627664994585e-5
d37c35f73fc21285f14723633ad2fbcd	d__Bacteria	p__Pseudomonadota.3	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	NA	78.5811342820422	-2.073239918072004	0.7756155712405376	-2.6730251363520403	0.007517061764513806	0.03816324956647923
2ec15f85a70bac9db588d177c5c10e4c	d__Bacteria	p__Bacillota.24	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group	NA	2.0473053565951305	-2.047526814401612	0.4172161376715107	-4.907592563003168	9.220114423828033e-7	2.2878749047033746e-5
596db8ce20ae5cbfdc338a62f1bed1d9	d__Bacteria	p__Bacillota.25	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Acutalibacter	NA	23.23328662229067	2.007660964902233	0.6945480880963759	2.8906003764330404	0.003845067178682425	0.023633037384925785
3219af75ee8056ed06ba81e873b0d0cb	d__Bacteria	p__Bacillota.26	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-002	NA	59.099445364801944	2.0361812586751893	0.7760610059691225	2.6237386532937124	0.008697049126090074	0.042180688261536856
609d1ae0045de753ac19f31803e3e19d	d__Bacteria	p__Bacillota.27	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-002	NA	13.953645942386261	2.053350019771928	0.6849916306179256	2.997627894985545	0.0027208966533650977	0.017920967463830612
be0f17ccabbe709007e9b9f2260f2654	d__Bacteria	p__Bacteroidota.10	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	NA	3.9031902604488935	2.079617449735006	0.605114460165959	3.4367340175024883	5.88773483983053e-4	0.005090140890012349
7c3d7711fd15460714ece118b35c0576	d__Bacteria	p__Bacillota.28	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Anaerotruncus	NA	5.911834839212873	2.0838968795824964	0.5729770834118882	3.636963745868478	2.7587074192039556e-4	0.0026759461966278366
50d2bcfe618afef2607f5475a1d512e4	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	NA	2.8397753679045907	2.0899570746200453	0.5500689360344853	3.7994457379956836	1.4502005906375933e-4	0.001487850029048377
5c1dd48ef0a674513626f5c85ea126ee	d__Bacteria	p__Bacteroidota.11	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Hoylesella	NA	144.55888909285366	2.117992244652833	0.8278795580849214	2.5583337865621942	0.010517508558715624	0.04943692348964569
